m	n	equiv_phi	batch	rule	winners	score_upper	score_lower	num_pruned_voters	t_quick_bounds_sec	t_pruning_sec	t_solver_sec	t_total_sec
40	1000	0.5	5	Plurality	(32,)	32.95104894148957	31.951048941490527	1	0.012683391571044922	0.007156848907470703	0.0677022933959961	0.15236616134643555
40	1000	0.5	5	2-approval	(32,)	60.96169429373667	60.96169429373677	0	0.012677192687988281	0.00835871696472168	0.41418004035949707	0.5195577144622803
40	1000	0.5	5	Borda	(19,)	20234.653856686644	20156.653856686604	2	0.012529611587524414	0.00978708267211914	36.39716148376465	36.62642168998718
80	1000	0.5	6	Plurality	(42,)	18.77694475462792	18.776944754628367	0	0.02524280548095703	0.01447439193725586	0.13382482528686523	0.33240818977355957
80	1000	0.5	6	2-approval	(42,)	33.988182561435366	33.988182561435025	0	0.024965286254882812	0.013844013214111328	0.867628812789917	1.0904295444488525
80	1000	0.5	6	Borda	(47,)	41568.58404160076	41410.584041600785	2	0.025102615356445312	0.0198214054107666	278.9019675254822	279.6462416648865
10	10000	0.5	6	Plurality	(1,)	1025.205278592383	1019.2052785923736	6	0.0323638916015625	0.024427175521850586	0.17539381980895996	0.4038519859313965
10	10000	0.5	6	2-approval	(4,)	2032.2008022908958	2030.2008022910406	2	0.033082008361816406	0.03225088119506836	1.0041062831878662	1.294409990310669
10	10000	0.5	6	Borda	(4,)	45510.345829014295	45330.34582901398	20	0.032010793685913086	0.034863948822021484	7.9964892864227295	8.348103284835815
20	1000	0.5	5	Plurality	(19,)	54.98439405860142	54.984394058603186	0	0.006326436996459961	0.003809213638305664	0.034302711486816406	0.07293295860290527
20	1000	0.5	5	2-approval	(2,)	110.05410746618469	108.0541074661863	2	0.00637507438659668	0.004750728607177734	0.20345783233642578	0.25079917907714844
20	1000	0.5	5	Borda	(12,)	9820.384408862843	9763.384408862767	3	0.006397724151611328	0.00542902946472168	5.2070300579071045	5.289751768112183
10	1000	0.5	2	Plurality	(4,)	109.33333333332851	109.33333333333324	0	0.0032241344451904297	0.0023910999298095703	0.01717209815979004	0.03673291206359863
10	1000	0.5	2	2-approval	(4,)	216.2423228561031	214.24232285610904	2	0.0031890869140625	0.003132343292236328	0.09826469421386719	0.12259411811828613
