m	n	phi	tb_size	batch	rule	winners	score_upper	score_lower	num_pruned_voters	t_quick_bounds_sec	t_pruning_sec	t_solver_sec	t_total_sec
10	1000	0.5	3	0	Plurality	(0,)	486.0	486.0	1000	0.005093097686767578	1.430511474609375e-05	0	0.005427837371826172
10	1000	0.5	3	0	2-approval	(0,)	737.0	737.0	1000	0.004900217056274414	1.3828277587890625e-05	0	0.005086660385131836
10	1000	0.5	3	0	Borda	(0,)	8069.0	7658.0	1000	0.004954814910888672	1.5497207641601562e-05	0	0.00516200065612793
10	1000	0.1	3	0	Plurality	(0,)	902.0	902.0	1000	0.0048601627349853516	1.3589859008789062e-05	0	0.005034208297729492
10	1000	0.1	3	0	2-approval	(0,)	989.0	989.0	1000	0.004850864410400391	1.2636184692382812e-05	0	0.005022525787353516
10	1000	0.1	3	0	Borda	(0,)	8891.0	8891.0	1000	0.004990100860595703	1.4066696166992188e-05	0	0.005261898040771484
10	1000	0.1	3	6	Plurality	(0,)	909.0	909.0	1000	0.004797935485839844	1.2874603271484375e-05	0	0.004973649978637695
10	1000	0.1	3	6	2-approval	(0,)	988.0	988.0	1000	0.0048062801361083984	1.239776611328125e-05	0	0.004991292953491211
10	1000	0.1	3	6	Borda	(0,)	8896.0	8893.0	1000	0.004802703857421875	1.33514404296875e-05	0	0.004978656768798828
10	1000	0.5	3	6	Plurality	(0,)	492.0	492.0	1000	0.004950523376464844	1.33514404296875e-05	0	0.0051310062408447266
10	1000	0.5	3	6	2-approval	(0,)	758.0	758.0	1000	0.005079746246337891	1.3113021850585938e-05	0	0.005365133285522461
10	1000	0.5	3	6	Borda	(0,)	8104.0	7783.0	1000	0.00494837760925293	1.5735626220703125e-05	0	0.005136728286743164
10	1000	0.5	3	3	Plurality	(0,)	509.0	509.0	1000	0.004900217056274414	1.33514404296875e-05	0	0.005077362060546875
10	1000	0.5	3	3	2-approval	(0,)	761.0	761.0	1000	0.00489044189453125	1.430511474609375e-05	0	0.005068302154541016
10	1000	0.5	3	3	Borda	(0,)	8153.0	7820.0	1000	0.004967212677001953	1.33514404296875e-05	0	0.005148172378540039
10	1000	0.1	3	3	Plurality	(0,)	903.0	903.0	1000	0.0048675537109375	1.33514404296875e-05	0	0.00504612922668457
10	1000	0.1	3	3	2-approval	(0,)	984.0	984.0	1000	0.00502467155456543	1.4781951904296875e-05	0	0.005207538604736328
10	1000	0.1	3	3	Borda	(0,)	8885.0	8879.0	1000	0.0049173831939697266	1.4066696166992188e-05	0	0.005171060562133789
10	1000	0.1	3	9	Plurality	(0,)	901.0	901.0	1000	0.004857540130615234	1.3113021850585938e-05	0	0.005044698715209961
10	1000	0.1	3	9	2-approval	(0,)	992.0	992.0	1000	0.0048046112060546875	1.3828277587890625e-05	0	0.004988193511962891
10	1000	0.1	3	9	Borda	(0,)	8892.0	8889.0	1000	0.004866838455200195	1.3828277587890625e-05	0	0.005042314529418945
10	1000	0.5	3	9	Plurality	(0,)	497.0	497.0	1000	0.004922389984130859	1.3589859008789062e-05	0	0.0051059722900390625
10	1000	0.5	3	9	2-approval	(0,)	737.0	737.0	1000	0.004902839660644531	1.33514404296875e-05	0	0.005179166793823242
