m	n	phi	pmax	batch	rule	winners	score_upper	score_lower	num_pruned_voters	t_quick_bounds_sec	t_pruning_sec	t_solver_sec	t_total_sec
10	1000	0.9	0.9	8	Plurality	(0,)	186.75054382987958	156.7505438298793	110	0.1740708351135254	0.002825498580932617	5.67509651184082	5.893583297729492
10	1000	0.9	0.9	8	2-approval	(0,)	324.28858630847265	285.2885863084722	87	0.17357468605041504	0.0035784244537353516	9.023202180862427	9.251604795455933
10	1000	0.9	0.9	8	Borda	(0,)	5599.122381407321	5293.1223814073155	80	0.1385354995727539	0.0046007633209228516	28.83739471435547	29.07805871963501
10	1000	0.5	0.9	4	Plurality	(0,)	582.9082680618689	353.90826806186914	401	0.1410512924194336	0.0017197132110595703	3.5358564853668213	3.69443941116333
10	1000	0.5	0.9	4	2-approval	(0,)	794.0431222805146	621.0431222805148	292	0.14148879051208496	0.0023992061614990234	5.590491056442261	5.756367206573486
10	1000	0.5	0.9	4	Borda	(0,)	8115.094033928	7481.094033928011	191	0.18154072761535645	0.0034942626953125	13.937466859817505	14.165705442428589
10	1000	0.1	0.9	4	Plurality	(0,)	937.9087254858084	429.9087254858101	740	0.13673901557922363	0.0006916522979736328	1.5230491161346436	1.6661601066589355
10	1000	0.1	0.9	4	2-approval	(0,)	992.0047065232061	910.0047065232059	153	0.17628693580627441	0.002666950225830078	5.589082479476929	5.787825345993042
10	1000	0.1	0.9	4	Borda	(0,)	8905.118800259219	8128.11880025924	281	0.17446470260620117	0.0029337406158447266	10.42728590965271	10.635358810424805
10	1000	0.5	0.9	1	Plurality	(0,)	563.9624062123772	364.96240621237894	333	0.13895177841186523	0.0019352436065673828	3.878214120864868	4.037022590637207
10	1000	0.5	0.9	1	2-approval	(0,)	761.9122933268468	646.9122933268471	211	0.18265962600708008	0.002587556838989258	5.990985631942749	6.199617624282837
10	1000	0.5	0.9	1	Borda	(0,)	8039.281657063964	7582.2816570639925	138	0.1352224349975586	0.0036857128143310547	14.82570219039917	15.009485006332397
10	1000	0.1	0.9	1	Plurality	(0,)	947.5313114747688	424.5313114747689	742	0.1355886459350586	0.00075531005859375	1.5685081481933594	1.7110230922698975
10	1000	0.1	0.9	1	2-approval	(0,)	991.1711044164089	906.1711044164073	167	0.14143896102905273	0.0028057098388671875	6.0342278480529785	6.200568914413452
10	1000	0.1	0.9	1	Borda	(0,)	8913.610665575825	8116.610665575805	288	0.13675284385681152	0.0030145645141601562	10.81067967414856	10.983121633529663
10	1000	0.1	0.9	7	Plurality	(0,)	943.8565138073379	437.85651380733873	732	0.13717365264892578	0.0008308887481689453	1.6860134601593018	1.830561637878418
10	1000	0.1	0.9	7	2-approval	(0,)	991.5313958011548	908.5313958011544	170	0.17937970161437988	0.002724885940551758	5.815585136413574	6.018234968185425
10	1000	0.1	0.9	7	Borda	(0,)	8911.302747888105	8126.3027478881095	290	0.13744854927062988	0.002948284149169922	10.866268396377563	11.037858963012695
10	1000	0.5	0.9	7	Plurality	(0,)	606.476565715924	360.4765657159261	439	0.1705174446105957	0.0015599727630615234	3.0420138835906982	3.2284011840820312
10	1000	0.5	0.9	7	2-approval	(0,)	799.4628802031604	641.4628802031608	279	0.18069100379943848	0.0023322105407714844	5.099773645401001	5.3035948276519775
10	1000	0.5	0.9	7	Borda	(0,)	8162.258530367969	7496.258530368008	207	0.13682961463928223	0.0034186840057373047	12.819732427597046	12.999807596206665
10	1000	0.9	0.9	1	Plurality	(0,)	173.11703928626685	154.1170392862666	74	0.13593387603759766	0.0026793479919433594	5.829371690750122	6.0112080574035645
10	1000	0.9	0.9	1	2-approval	(0,)	319.6096098209831	287.6096098209832	74	0.181504487991333	0.0034558773040771484	8.999897480010986	9.236667156219482
10	1000	0.9	0.9	1	Borda	(0,)	5530.864387380678	5264.864387380683	84	0.18502020835876465	0.004664421081542969	29.597759008407593	29.885000944137573
10	1000	0.9	0.9	7	Plurality	(0,)	154.53095949660226	143.5309594966022	56	0.17220783233642578	0.0030813217163085938	6.890550851821899	7.11460542678833
10	1000	0.9	0.9	7	2-approval	(0,)	285.19935398629934	272.19935398629895	41	0.17236709594726562	0.0037713050842285156	10.845162630081177	11.078696489334106
10	1000	0.9	0.9	7	Borda	(0,)	5333.442213903048	5179.442213903042	49	0.13882708549499512	0.004908084869384766	33.65469980239868	33.90453243255615
10	1000	0.9	0.9	4	Plurality	(0,)	153.84073704760286	148.84073704760272	19	0.13560771942138672	0.0031328201293945312	6.89936900138855	7.087009906768799
10	1000	0.9	0.9	4	2-approval	(0,)	291.17208076479704	281.1720807647967	32	0.13610100746154785	0.0036618709564208984	10.33196473121643	10.527357578277588
10	1000	0.9	0.9	4	Borda	(0,)	5424.8493967442355	5212.849396744237	57	0.13627219200134277	0.00490117073059082	33.17249059677124	33.41866874694824
10	1000	0.5	0.9	0	Plurality	(0,)	547.7408264541982	341.74082645420066	376	0.138350248336792	0.0018749237060546875	3.654252767562866	3.8121981620788574
10	1000	0.5	0.9	0	2-approval	(0,)	775.4144590310398	609.4144590310405	295	0.13700127601623535	0.002388477325439453	5.359501361846924	5.52090859413147
