m	n	phi	pmax	batch	rule	winners	score_upper	score_lower	num_pruned_voters	t_quick_bounds_sec	t_pruning_sec	t_solver_sec	t_total_sec
10	100	0.1	0.1	0	Plurality	(0,)	7.702777777777664	7.702777777777767	0	0.0054614543914794	0.0004730224609375	0.2300348281860351	0.2404642105102539
10	100	0.1	0.1	0	2-approval	(0,)	15.180895061728515	15.180895061728377	0	0.0049734115600585	0.0004749298095703	0.5132596492767334	0.5243489742279053
10	100	0.1	0.1	0	Borda	(2,)	332.0577380952381	332.05773809523805	0	0.0049107074737548	0.000481367111206	0.9694259166717528	0.9814157485961914
10	100	0.1	0.1	1	Plurality	(0,)	9.156805555555447	8.156805555555543	1	0.0050532817840576	0.0004677772521972	0.2345311641693115	0.2444827556610107
10	100	0.1	0.1	1	2-approval	(0,)	17.137191358024793	16.13719135802467	1	0.0050616264343261	0.0004680156707763	0.5588991641998291	0.5702459812164307
10	100	0.1	0.1	1	Borda	(0,)	361.2306878306876	344.2306878306877	2	0.0054378509521484	0.0004758834838867	1.097280502319336	1.109865665435791
10	100	0.1	0.1	2	Plurality	(0,)	8.060694444444296	8.060694444444433	0	0.0050234794616699	0.0004611015319824	0.2779493331909179	0.2879652976989746
10	100	0.1	0.1	2	2-approval	(0,)	16.761358024691482	15.76135802469134	1	0.0052015781402587	0.0004782676696777	0.6353282928466797	0.6467709541320801
10	100	0.1	0.1	2	Borda	(0,)	350.6215443121697	341.6215443121693	1	0.0052306652069091	0.0004825592041015	1.4730308055877686	1.485572338104248
10	100	0.1	0.1	3	Plurality	(0,)	7.964027777777675	7.964027777777766	0	0.0046446323394775	0.000457763671875	0.1863107681274414	0.1955201625823974
10	100	0.1	0.1	3	2-approval	(0,)	15.667870370370446	15.667870370370352	0	0.0046617984771728	0.0004587173461914	0.4265387058258056	0.4368677139282226
10	100	0.1	0.1	3	Borda	(1,)	338.0826388888889	338.082638888889	0	0.0048377513885498	0.0004475116729736	0.8347263336181641	0.8461387157440186
10	100	0.1	0.1	4	Plurality	(0,)	7.639027777777657	7.639027777777768	0	0.0049607753753662	0.000441551208496	0.2422070503234863	0.2519099712371826
10	100	0.1	0.1	4	2-approval	(0,)	15.05660493827172	15.056604938271589	0	0.0049529075622558	0.0004565715789794	0.5690760612487793	0.5800552368164062
10	100	0.1	0.1	4	Borda	(0,)	321.0368882275136	321.0368882275132	0	0.0049936771392822	0.0004682540893554	1.2438273429870603	1.255955696105957
10	100	0.1	0.1	5	Plurality	(0,)	7.504642857142715	7.504642857142848	0	0.0050756931304931	0.0004501342773437	0.2820641994476318	0.2920176982879638
10	100	0.1	0.1	5	2-approval	(0,)	14.810952380952504	14.81095238095236	0	0.0050544738769531	0.0004611015319824	0.6638157367706299	0.675119161605835
10	100	0.1	0.1	5	Borda	(0,)	318.3566550925931	318.35665509259263	0	0.0050539970397949	0.0004737377166748	1.5837080478668213	1.596208095550537
10	100	0.1	0.1	6	Plurality	(0,)	7.798611111111048	7.798611111111102	0	0.0050227642059326	0.0004458427429199	0.2322320938110351	0.2420160770416259
10	100	0.1	0.1	6	2-approval	(0,)	16.374783950617413	15.374783950617267	1	0.0051784515380859	0.000457763671875	0.5125443935394287	0.52372145652771
10	100	0.1	0.1	6	Borda	(0,)	339.692027116402	331.692027116402	1	0.0050206184387207	0.0004506111145019	1.074286699295044	1.0863769054412842
10	100	0.1	0.1	7	Plurality	(0,)	7.783611111111014	7.7836111111110995	0	0.0051095485687255	0.0004403591156005	0.2563867568969726	0.266334056854248
10	100	0.1	0.1	7	2-approval	(0,)	15.276620370370484	15.276620370370354	0	0.0050709247589111	0.0004689693450927	0.6363029479980469	0.6476750373840332
